 (Half Day),（半天）
Add Quote,添加报价
Add Review,添加评论
Add Row,添加一行
Add Sales Partners,添加业务伙伴
Add script for Child Table,添加子表的脚本
Add Serial No,添加序列号
Add Shortcut,添加快捷方式
Add Signature,添加签名
Add Students,新增学生
Add Subscribers,添加订阅者
Add Suppliers,添加供应商
Add Template,新建模板
Add Test,添加测试
Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,添加您的组织的其余部分用户。您还可以添加邀请客户到您的门户网站通过从联系人中添加它们
Add this Series,添加单据编号模板
Add Time Slots,添加时间时隙
Add Timesheets,添加工时表
Add Timeslots,添加时代
Add to Cart,加入购物车
Add to Desktop,添加到桌面
Add to Details,添加到详细信息
Add to Holidays,添加至假期
Add to Prospect,关联意向客户
Add to table,添加到表格
Add to To Do,添加到待办
Add to ToDo,新增待办
Add to Transit,添加至在途,
Add Total Row,添加总计行
Add Unsubscribe Link,添加退订链接
Add unused leaves from previous allocations,结转之前结余休假
Add User Permissions,添加用户权限
Add Users to Marketplace,将用户添加到网上交易市场
Add Users,添加用户
Add Weekly Holidays,添加每周休息日
Add your message here,在此添加通知内容
Add your own Tag Categories,添加您自己的标签分类
Add your own translations,添加您自己的翻译
Add your review,添加您的评论
Add {},新建 {}
Add,添加
Add-ons,附加功能
Add/Remove Recipients,添加/删除收件人
added rows for {0},新增了 {0} 明细行
Added to details,添加到细节
Added {0} ({1}),已添加{0}（{1}）
Added {0} users,添加了{0}个用户
Added {0},添加{0}
Added,添加了
added,添加了
Adding System Manager to this User as there must be atleast one System Manager,正在为此用户添加“系统管理员”角色，因为至少需要一个系统管理员
Additional Amount,额外金额
Additional Charges,附加费用
Additional Cost Per Qty,每单位其它成本
Additional Cost,额外费用
Additional Costs,额外费用
Additional Details,额外细节
Additional Discount Account,额外折扣科目
Additional Discount Amount (Company Currency),额外折扣金额（本币）
Additional DIscount Amount,额外折扣金额
Additional Discount Amount,额外折扣金额
Additional Discount and Coupon Code,额外折扣与优惠码
Additional DIscount Percentage,额外折扣百分比
Additional Discount Percentage,额外折扣百分比
Additional Discount,额外折扣
Additional Info,附加信息
Additional information regarding the customer.,该客户的其他信息。
Additional information regarding the patient,有关患者的其他信息
Additional Information,附加信息
Additional Notes,补充说明
Additional Operating Cost,额外工费成本
Additional Permissions,额外权限
Additional Salary Component Exists.,额外薪资构成项已存在。
Additional Salary Component,额外薪资构成项
Additional Salary,额外薪水
Address & Contact,地址及联系方式
Address & Contacts,地址及联系方式
Address and Contact,地址和联系方式
Address And Contacts,地址与联系人
Address and Contacts,地址和联系方式
Address and other legal information you may want to put in the footer.,地址和其他法律信息最好放进页脚。
Address Desc,地址倒序
Address HTML,地址HTML
Address Line 1,详细地址1
Address Line 2,详细地址2
Address Name,地址名称
Address of Organizer,主办单位地址
Address Template,地址模板
Address Title is mandatory.,地址名称是必填项。
Address Title,地址名称
Address Type,地址类型
Address used to determine Tax Category in transactions.,业务交易用于决定税别的地址
Address,地址
Addresses And Contacts,地址和联系方式
Addresses,地址
Adds a client custom script to a DocType,为单据类型添加Javascript脚本
Adds a custom field to a DocType,为单据类型添加一个自定义字段
Adds a custom script (client or server) to a DocType,为单据类型添加一个自定义脚本(用户端或服务器端)
Adjust Asset Value,调整资产价值
adjust,调整
Adjustment Against,源单
Admin,管理员
ADMINISTRATION,管理
Administrative Expenses,行政费用
Administrative Officer,行政主任
Administrator accessed {0} on {1} via IP Address {2}.,管理员访问{0}在{1}通过IP地址{2}。
Administrator Logged In,管理员登录
Administrator,管理员
Admission and Enrollment,招生与注册
Admission End Date,录取结束日期
Admission Schedule Date,预计住院日期
Admission Scheduled,住院已安排
Admission Start Date,入学开始日期
Admission,招生与报名
Admissions for {0},招生{0}
Admit,承认
Admitted Datetime,承认日期时间
Admitted,已批准
Adults' pulse rate is anywhere between 50 and 80 beats per minute.,成年人的脉率在每分钟50到80次之间。
Advance account currency should be same as company currency {0},预付科目货币应与本币{0}相同
Advance Account,预支科目
Advance amount cannot be greater than {0} {1},预付金额不能大于{0} {1}
Advance Amount,预付款金额
Advance amount,预付金额
Advance paid against {0} {1} cannot be greater \						than Grand Total {2},针对{0} {1}的预付不得超过总计{2}
Advance Paid,预付款
Advance payments allocated against orders will only be fetched,仅获取关联了订单的预付款
Advance Payments,预付款
Advance Tax Account,预付税科目
Advance Taxes and Charges,预付税费
Advance,高级
Advanced Control,高级控制
Advanced Search,高级搜索
Advanced Settings,高级设置
Advanced,高级
Advances,预付
Advertisement,广告
Advertising,广告
Aerospace,航天
After Cancel,取消后
After Date,日期之后
After Delete,删除后
After Insert,创建后
After payment completion redirect user to selected page.,支付完成后将用户转到所选网页。
After Save (Submitted Document),保存后(已提交)
After Save,保存后
After Submit,提交后
after_insert,新增
Afternoon,下午
Against Account,对方科目
Against Blanket Order,框架订单
Against Docname,单据编号
Against Doctype,单据类型
Against Document Detail No,对单据信息编号
Against Document No,源单据
Against Expense Account,费用账目
Against Income Account,收入账目
Against Journal Entry {0} does not have any unmatched {1} entry,日记账凭证{0}没有不符合的{1}分录
Against Journal Entry {0} is already adjusted against some other voucher,对销凭证{0}已经被其他凭证调整
Against Loan,关联借款
Against Loan: {0},借款：{0}
Against Sales Invoice Item,源销售发票明细
Against Sales Invoice,销售发票
Against Sales Order Item,销售订单明细
Against Sales Order,销售订单
Against Stock Entry,源物料移动单
Against Supplier Invoice {0} dated {1},对日期为{1}的供应商发票{0}
Against Voucher No,关联凭证号
Against Voucher Type,对销凭证类型
Against Voucher,对销凭证
Against,对方科目
Age (0 - 30),库龄1个月
Age (31 - 00),库龄2个月
Age (62 - 90),库龄3个月
Age (91 - Above),库龄3个月以上
Age (Days),账龄天数
Age,账龄
Ageing Based On,账龄基于
Ageing Range 1,账龄范围1
Ageing Range 2,账龄范围2
Ageing Range 3,账龄范围3
Ageing Range 4,账龄范围4
Agenda,议程
Agent,代理商
Aggregate Function Based On,统计字段
Agreement Details,协议细节
Agriculture (beta),农业（测试版）
Agriculture Analysis Criteria,农业分析标准
Agriculture Manager,农业经理
Agriculture Task,农业任务
Agriculture User,农业用户
Agriculture,农业
Air,空气
Airline,航空公司
Alcohol Current Use,当前酒精摄入情况
Alcohol Past Use,之前酒精摄入情况
Align Labels to the Right,标签右对齐
Align Value,对齐方式
align-center,居中对齐
align-justify,段落两端对齐
align-left,左对齐
align-right,右对齐
All Accounts,所有科目
All Activities,全部活动
All Addresses.,所有地址。
All Assessment Groups,所有评估组
All bank transactions have been created,已创建所有银行交易流水
All BOMs,全部BOM
All communications including and above this shall be moved into the new Issue,包括及以上的所有通信均应移至新问题中
All Contact,所有联系人
All Contacts.,所有联系人。
All Customer Contact,所有客户联系人
All Customer Groups,所有客户组
All customizations will be removed. Please confirm.,所有定制都将被删除，请确认
All Day,全天
All Departments,所有部门
All Employee (Active),所有员工（在编）
All fields are necessary to submit the comment.,所有字段都必须提交评论。
All Healthcare Service Units,所有医疗服务单位
All Images attached to Website Slideshow should be public,所有连接到网站幻灯片的图片应该是公开的
All Item Groups,所有物料组
All items have already been invoiced,所有物料已开具发票
All items have already been transferred for this Work Order.,所有物料已发料到该生产工单。
All Items,所有物料
All Jobs,全部任务
All Lead (Open),所有线索（跟进中）
All other ITC,所有其他ITC
All Products or Services.,所有的产品或服务。
All Products,所有产品
All Queues,全部队列
All Records,所有记录
All Results,全部结果
